Timestamp,/zed2i/zed_node/depth/camera_info,/zed2i/zed_node/right/image_rect_color,/zed2i/zed_node/confidence/confidence_map,/transformed_point_cloud,/islam/vlp_odom,/piksi/navsatfix_best_fix,/jackal_velocity_controller/odom,/zed2i/zed_node/imu/mag,/zed2i/zed_node/pose,/cumulative_origin_point_cloud,/microstrain/imu/data,/velodyne_points,/transformed_odom,/zed2i/zed_node/depth/depth_registered,/zed2i/zed_node/left/image_rect_color,/zed2i/zed_node/left/camera_info,/islam/vlp_pts,/zed2i/zed_node/imu/data,/microstrain/mag,/cumulative_point_cloud,/zed2i/zed_node/right/camera_info,Timestamp_Variance_sec
1750363265.9292722,1689715619.6496856,1689715619.6496856,1689715619.6496856,1689715619.747705,1689715619.7429998,1689715619.713079,1689715619.7429998,1689715619.7469182,1689715619.7496958,1689715619.747705,1689715619.779,1689715619.747705,1689715619.7429998,1689715619.6496856,1689715619.7496958,1689715619.7496958,1689715619.747705,1689715619.7847557,1689715619.792,1689715619.747705,1689715619.6496856,0.0021519298327294088
1750363266.8885798,1689715619.7496958,1689715619.7496958,1689715619.7496958,1689715619.848387,1689715619.8428578,1689715619.805265,1689715619.8428578,1689715619.8478181,1689715619.8496938,1689715619.848387,1689715619.869,1689715619.848387,1689715619.8428578,1689715619.7496958,1689715619.8496938,1689715619.8496938,1689715619.848387,1689715619.8856556,1689715619.869,1689715619.848387,1689715619.7496958,0.0020150952418670647
1750363267.8761425,1689715619.8496938,1689715619.8496938,1689715619.8496938,1689715619.949318,1689715619.963183,1689715619.91312,1689715619.942838,1689715619.948718,1689715619.9497006,1689715619.949318,1689715619.972,1689715619.949318,1689715619.9228396,1689715619.8496938,1689715619.9497006,1689715619.7496958,1689715619.949318,1689715619.984033,1689715619.972,1689715619.949318,1689715619.8496938,0.00344760282560704
1750363268.869287,1689715619.9497006,1689715619.9497006,1689715619.9497006,1689715620.050231,1689715620.042849,1689715620.006223,1689715620.042849,1689715620.0496182,1689715620.0497026,1689715620.050231,1689715620.072,1689715620.050231,1689715620.0228443,1689715619.9497006,1689715620.0497026,1689715619.9497006,1689715620.050231,1689715620.079888,1689715620.072,1689715620.050231,1689715619.9497006,0.0022421981771111902
1750363269.9017253,1689715620.0497026,1689715620.0497026,1689715620.0497026,1689715620.151049,1689715620.1428578,1689715620.112207,1689715620.1428578,1689715620.1505182,1689715620.1497898,1689715620.151049,1689715620.174,1689715620.151049,1689715620.1428578,1689715620.0497026,1689715620.1497898,1689715620.0497026,1689715620.151049,1689715620.1858332,1689715620.174,1689715620.151049,1689715620.0497026,0.0023242737785862813
1750363270.9271402,1689715620.1497898,1689715620.1497898,1689715620.1497898,1689715620.251939,1689715620.243257,1689715620.20514,1689715620.243257,1689715620.251418,1689715620.2496827,1689715620.251939,1689715620.277,1689715620.251939,1689715620.2228715,1689715620.1497898,1689715620.2496827,1689715620.2496827,1689715620.251939,1689715620.2842107,1689715620.277,1689715620.251939,1689715620.1497898,0.0021119939929987942
1750363271.8768175,1689715620.2496827,1689715620.2496827,1689715620.2496827,1689715620.353018,1689715620.3430963,1689715620.319733,1689715620.3430963,1689715620.352318,1689715620.3497987,1689715620.353018,1689715620.379,1689715620.353018,1689715620.302865,1689715620.2496827,1689715620.3497987,1689715620.2496827,1689715620.353018,1689715620.3800657,1689715620.379,1689715620.353018,1689715620.2496827,0.0023707189006602547
1750363272.902365,1689715620.3497987,1689715620.3497987,1689715620.3497987,1689715620.453756,1689715620.4429314,1689715620.401851,1689715620.4429314,1689715620.4532182,1689715620.4497178,1689715620.453756,1689715620.475,1689715620.453756,1689715620.4429314,1689715620.3497987,1689715620.4497178,1689715620.3497987,1689715620.453756,1689715620.483488,1689715620.475,1689715620.453756,1689715620.3497987,0.0023774700887451046
1750363273.8929129,1689715620.4497178,1689715620.4497178,1689715620.4497178,1689715620.55446,1689715620.54301,1689715620.512198,1689715620.54301,1689715620.5541182,1689715620.5496967,1689715620.55446,1689715620.577,1689715620.55446,1689715620.523004,1689715620.4497178,1689715620.5496967,1689715620.5496967,1689715620.55446,1689715620.584388,1689715620.577,1689715620.55446,1689715620.4497178,0.0021400756255805695
1750363274.9404645,1689715620.5496967,1689715620.6496947,1689715620.5496967,1689715620.655349,1689715620.6429927,1689715620.604461,1689715620.6429927,1689715620.655018,1689715620.6496947,1689715620.655349,1689715620.679,1689715620.655349,1689715620.6030648,1689715620.5496967,1689715620.6496947,1689715620.6496947,1689715620.655349,1689715620.6903331,1689715620.679,1689715620.655349,1689715620.6496947,0.0016348794147179866
